TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,051003, Kabui,2,0,2,0,0,0,2,0,2
C0116,28,000,000000,ANDHRA PRADESH,051005, Rongmei,27,7,20,0,0,0,27,7,20
C0116,28,000,000000,ANDHRA PRADESH,053000,53 KHANDESHI,3,2,1,0,0,0,3,2,1
C0116,28,000,000000,ANDHRA PRADESH,053002, Ahirani,1,1,0,0,0,0,1,1,0
C0116,28,000,000000,ANDHRA PRADESH,053005, Gujari,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,054000,54 KHARIA ,67,32,35,0,0,0,67,32,35
C0116,28,000,000000,ANDHRA PRADESH,054005, Kharia,67,32,35,0,0,0,67,32,35
C0116,28,000,000000,ANDHRA PRADESH,055000,55 KHASI ,28,15,13,0,0,0,28,15,13
C0116,28,000,000000,ANDHRA PRADESH,055007, Khasi,24,12,12,0,0,0,24,12,12
C0116,28,000,000000,ANDHRA PRADESH,055009, Lyngngam,1,1,0,0,0,0,1,1,0
C0116,28,000,000000,ANDHRA PRADESH,055012, Pnar/Synteng,3,2,1,0,0,0,3,2,1
C0116,28,000,000000,ANDHRA PRADESH,056000,56 KHEZHA ,6,3,3,0,0,0,6,3,3
C0116,28,000,000000,ANDHRA PRADESH,056003, Khezha,1,0,1,0,0,0,1,0,1
C0116,28,000,000000,ANDHRA PRADESH,056999,56 Others ,5,3,2,0,0,0,5,3,2
C0116,28,000,000000,ANDHRA PRADESH,058000,58 KHOND/KONDH ,105,60,45,0,0,0,105,60,45
C0116,28,000,000000,ANDHRA PRADESH,058001, Khond/Kondh,54,33,21,0,0,0,54,33,21
C0116,28,000,000000,ANDHRA PRADESH,058006, Kuvi,51,27,24,0,0,0,51,27,24
C0116,28,000,000000,ANDHRA PRADESH,059000,59 KINNAURI ,11,4,7,0,0,0,11,4,7
C0116,28,000,000000,ANDHRA PRADESH,059999,59 Others,11,4,7,0,0,0,11,4,7
C0116,28,000,000000,ANDHRA PRADESH,061000,61 KOCH ,10,5,5,0,0,0,10,5,5
C0116,28,000,000000,ANDHRA PRADESH,061002, Koch,10,5,5,0,0,0,10,5,5
C0116,28,000,000000,ANDHRA PRADESH,062000,62 KODA/KORA ,3,0,3,0,0,0,3,0,3
C0116,28,000,000000,ANDHRA PRADESH,062003, Koda/Kora,3,0,3,0,0,0,3,0,3
C0116,28,000,000000,ANDHRA PRADESH,063000,63 KOLAMI ,590,376,214,0,0,0,590,376,214
C0116,28,000,000000,ANDHRA PRADESH,063001, Kolami,590,376,214,0,0,0,590,376,214
C0116,28,000,000000,ANDHRA PRADESH,064000,64 KOM,3,1,2,0,0,0,3,1,2
C0116,28,000,000000,ANDHRA PRADESH,064001, Kom,3,1,2,0,0,0,3,1,2
C0116,28,000,000000,ANDHRA PRADESH,065000,65 KONDA,1195,958,237,0,0,0,1195,958,237
C0116,28,000,000000,ANDHRA PRADESH,065002, Kodu,1078,873,205,0,0,0,1078,873,205
C0116,28,000,000000,ANDHRA PRADESH,065003, Konda,104,74,30,0,0,0,104,74,30
C0116,28,000,000000,ANDHRA PRADESH,065999,65 Others ,13,11,2,0,0,0,13,11,2
C0116,28,000,000000,ANDHRA PRADESH,066000,66 KONYAK ,6,1,5,0,0,0,6,1,5
C0116,28,000,000000,ANDHRA PRADESH,066001, Konyak,6,1,5,0,0,0,6,1,5
C0116,28,000,000000,ANDHRA PRADESH,067000,67 KORKU ,3,3,0,0,0,0,3,3,0
C0116,28,000,000000,ANDHRA PRADESH,067001, Korku,1,1,0,0,0,0,1,1,0
C0116,28,000,000000,ANDHRA PRADESH,067999,67 Others ,2,2,0,0,0,0,2,2,0
C0116,28,000,000000,ANDHRA PRADESH,068000,68 KORWA ,5,3,2,0,0,0,5,3,2
C0116,28,000,000000,ANDHRA PRADESH,068999,68 Others ,5,3,2,0,0,0,5,3,2
C0116,28,000,000000,ANDHRA PRADESH,069000,69 KOYA ,4406,2163,2243,0,0,0,4406,2163,2243
C0116,28,000,000000,ANDHRA PRADESH,069002, Koya,4406,2163,2243,0,0,0,4406,2163,2243
C0116,28,000,000000,ANDHRA PRADESH,070000,70 KUI ,24,9,15,0,0,0,24,9,15
C0116,28,000,000000,ANDHRA PRADESH,070001, Kui,24,9,15,0,0,0,24,9,15
C0116,28,000,000000,ANDHRA PRADESH,071000,71 KUKI,66,40,26,0,0,0,66,40,26
C0116,28,000,000000,ANDHRA PRADESH,071008, Kuki,66,40,26,0,0,0,66,40,26
C0116,28,000,000000,ANDHRA PRADESH,072000,72 KURUKH/ORAON ,57,28,29,0,0,0,57,28,29
C0116,28,000,000000,ANDHRA PRADESH,072024, Kurukh/Oraon,57,28,29,0,0,0,57,28,29
C0116,28,000,000000,ANDHRA PRADESH,073000,73 LADAKHI ,2,2,0,0,0,0,2,2,0
C0116,28,000,000000,ANDHRA PRADESH,073003, Ladakhi,2,2,0,0,0,0,2,2,0
C0116,28,000,000000,ANDHRA PRADESH,074000,74 LAHAULI ,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,074999,74 Others ,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,075000,75 LAHNDA ,35,21,14,0,0,0,35,21,14
C0116,28,000,000000,ANDHRA PRADESH,075006, Hindi Multani,25,14,11,0,0,0,25,14,11
C0116,28,000,000000,ANDHRA PRADESH,075999,75 Others ,10,7,3,0,0,0,10,7,3
C0116,28,000,000000,ANDHRA PRADESH,076000,76 LAKHER,11,10,1,0,0,0,11,10,1
C0116,28,000,000000,ANDHRA PRADESH,076002, Mara,11,10,1,0,0,0,11,10,1
